feedback_id,patient_id,hospital_id,doctor_id,rating,comments,feedback_date
FB00000031,PAT070595,H001,DOC0072,3,Service was acceptable but administrative processes are slow.,2024-07-06
FB00000032,PAT061384,H001,DOC0002,4,Doctor explained my condition thoroughly and answered all questions.,2024-10-31
FB00000033,PAT065832,H004,DOC0259,5,Outstanding care in the ICU. Nurses were exceptional.,2025-03-19
FB00000034,PAT050581,H002,DOC0168,3,Good doctors but the waiting area is too small and uncomfortable.,2024-05-14
FB00000035,PAT009330,H001,DOC0068,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-10-15
FB00000036,PAT016151,H005,DOC0311,1,"Hospital was severely overcrowded, could not find a bed.",2025-03-27
FB00000037,PAT014910,H008,DOC0508,3,Treatment was satisfactory. Paperwork took longer than expected.,2025-03-19
FB00000038,PAT068826,H001,DOC0024,2,Pharmacy was out of my prescribed medication for 2 days.,2024-08-03
FB00000039,PAT060433,H002,DOC0171,1,Billing process was confusing and poorly explained.,2025-02-24
FB00000040,PAT007694,H004,DOC0273,5,"Excellent care, clean facility, and attentive nursing staff.",2024-10-31
FB00000041,PAT006558,H005,DOC0306,3,Average experience overall. Nothing exceptional but no major complaints.,2025-05-09
FB00000042,PAT074374,H003,DOC0228,1,Follow-up appointment was postponed twice without explanation.,2025-03-12
FB00000043,PAT071296,H005,DOC0313,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-05-22
FB00000044,PAT034976,H006,DOC0318,5,Doctor explained my condition thoroughly and answered all questions.,2024-12-13
FB00000045,PAT007819,H008,DOC0482,3,Average experience overall. Nothing exceptional but no major complaints.,2024-10-20
FB00000046,PAT029287,H002,DOC0117,3,Service was acceptable but administrative processes are slow.,2025-04-11
FB00000047,PAT037384,H001,DOC0033,4,Modern equipment and knowledgeable medical team.,2024-06-13
FB00000048,PAT066526,H003,DOC0239,3,Good doctors but the waiting area is too small and uncomfortable.,2024-12-19
FB00000049,PAT033237,H001,DOC0070,4,Doctor explained my condition thoroughly and answered all questions.,2025-04-03
FB00000050,PAT000772,H007,DOC0433,1,Follow-up appointment was postponed twice without explanation.,2024-12-24
FB00000051,PAT061235,H001,DOC0070,3,Service was acceptable but administrative processes are slow.,2024-05-22
FB00000052,PAT070466,H003,DOC0194,2,Lab results took over 5 hours. No one communicated the delay.,2024-12-26
FB00000053,PAT064739,H001,DOC0088,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-12-16
FB00000054,PAT049586,H001,DOC0042,4,Outstanding care in the ICU. Nurses were exceptional.,2024-07-24
FB00000055,PAT048266,H008,DOC0455,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-09-22
FB00000056,PAT028078,H003,DOC0230,2,Follow-up appointment was postponed twice without explanation.,2024-09-13
FB00000057,PAT035808,H006,DOC0404,4,Modern equipment and knowledgeable medical team.,2025-02-13
FB00000058,PAT014167,H002,DOC0116,2,Lab results took over 5 hours. No one communicated the delay.,2024-08-30
FB00000059,PAT066714,H003,DOC0191,2,Extremely long waiting time — over 3 hours for a simple consultation.,2025-01-22
FB00000060,PAT063571,H006,DOC0391,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-06-25
FB00000061,PAT073624,H008,DOC0489,2,Pharmacy was out of my prescribed medication for 2 days.,2024-09-10
FB00000062,PAT004039,H001,DOC0004,2,Follow-up appointment was postponed twice without explanation.,2024-12-20
FB00000063,PAT038906,H006,DOC0320,4,Doctor explained my condition thoroughly and answered all questions.,2025-02-08
FB00000064,PAT067360,H003,DOC0178,3,Good doctors but the waiting area is too small and uncomfortable.,2024-05-29
FB00000065,PAT009742,H004,DOC0262,5,Follow-up was prompt and well-coordinated. Highly recommend.,2025-04-17
FB00000066,PAT053867,H003,DOC0199,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-12-04
FB00000067,PAT000040,H008,DOC0507,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-08-13
FB00000068,PAT047477,H001,DOC0048,4,"Excellent care, clean facility, and attentive nursing staff.",2025-01-19
FB00000069,PAT052638,H006,DOC0317,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-05-17
FB00000070,PAT029785,H003,DOC0253,3,Good doctors but the waiting area is too small and uncomfortable.,2024-05-13
FB00000071,PAT038610,H002,DOC0101,2,Extremely long waiting time — over 3 hours for a simple consultation.,2024-08-11
FB00000072,PAT034407,H003,DOC0201,4,Very professional doctors. Quick and efficient service.,2024-11-02
FB00000073,PAT025666,H007,DOC0426,4,"Excellent care, clean facility, and attentive nursing staff.",2024-11-06
FB00000074,PAT010122,H003,DOC0205,4,Follow-up was prompt and well-coordinated. Highly recommend.,2025-03-28
FB00000075,PAT052419,H004,DOC0273,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-07-25
FB00000076,PAT039278,H001,DOC0022,2,Cleanliness of the wards needs significant improvement.,2025-04-27
FB00000077,PAT071380,H007,DOC0421,4,"Excellent care, clean facility, and attentive nursing staff.",2024-12-11
FB00000078,PAT001593,H005,DOC0287,2,Lab results took over 5 hours. No one communicated the delay.,2025-03-28
FB00000079,PAT020995,H003,DOC0183,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-12-24
FB00000080,PAT074369,H003,DOC0182,5,Very satisfied with diagnosis accuracy and treatment plan.,2024-11-04
FB00000081,PAT040464,H003,DOC0217,5,"Excellent care, clean facility, and attentive nursing staff.",2024-12-23
FB00000082,PAT069770,H001,DOC0077,2,Billing process was confusing and poorly explained.,2024-08-10
FB00000083,PAT037590,H008,DOC0474,3,Service was acceptable but administrative processes are slow.,2024-05-15
FB00000084,PAT056344,H003,DOC0184,2,Extremely long waiting time — over 3 hours for a simple consultation.,2024-12-16
FB00000085,PAT028694,H003,DOC0193,3,Good doctors but the waiting area is too small and uncomfortable.,2025-03-31
FB00000086,PAT003762,H007,DOC0423,4,Minimal waiting time. Staff were courteous and professional.,2025-03-28
FB00000087,PAT059405,H008,DOC0460,4,"Excellent care, clean facility, and attentive nursing staff.",2025-02-09
FB00000088,PAT049191,H008,DOC0512,1,Lab results took over 5 hours. No one communicated the delay.,2024-10-28
FB00000089,PAT064528,H001,DOC0025,3,Good doctors but the waiting area is too small and uncomfortable.,2024-10-05
FB00000090,PAT038141,H003,DOC0178,4,Outstanding care in the ICU. Nurses were exceptional.,2025-03-12
FB00000091,PAT022397,H005,DOC0308,5,Minimal waiting time. Staff were courteous and professional.,2024-10-01
FB00000092,PAT001507,H006,DOC0336,5,Very professional doctors. Quick and efficient service.,2024-05-20
FB00000093,PAT013789,H006,DOC0356,5,Minimal waiting time. Staff were courteous and professional.,2025-03-26
FB00000094,PAT013433,H001,DOC0035,3,Treatment was satisfactory. Paperwork took longer than expected.,2025-04-01
FB00000095,PAT014423,H002,DOC0152,3,Average experience overall. Nothing exceptional but no major complaints.,2025-01-19
FB00000096,PAT036305,H003,DOC0229,5,Doctor explained my condition thoroughly and answered all questions.,2024-10-24
FB00000097,PAT009712,H002,DOC0091,5,Very professional doctors. Quick and efficient service.,2024-10-27
FB00000098,PAT047979,H001,DOC0084,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-08-17
FB00000099,PAT021852,H004,DOC0262,4,Very professional doctors. Quick and efficient service.,2024-07-01
FB00000100,PAT059471,H002,DOC0093,4,"Excellent care, clean facility, and attentive nursing staff.",2025-02-13
FB00000101,PAT012135,H002,DOC0154,5,Doctor explained my condition thoroughly and answered all questions.,2024-12-16
FB00000102,PAT039988,H005,DOC0302,3,Average experience overall. Nothing exceptional but no major complaints.,2025-03-30
FB00000103,PAT021563,H008,DOC0485,3,Good doctors but the waiting area is too small and uncomfortable.,2024-12-01
FB00000104,PAT005620,H007,DOC0443,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-11-24
FB00000105,PAT016001,H008,DOC0514,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-07-11
FB00000106,PAT022679,H007,DOC0435,3,Good doctors but the waiting area is too small and uncomfortable.,2024-09-14
FB00000107,PAT003318,H001,DOC0083,1,Extremely long waiting time — over 3 hours for a simple consultation.,2024-08-21
FB00000108,PAT028873,H001,DOC0018,4,Outstanding care in the ICU. Nurses were exceptional.,2024-10-17
FB00000109,PAT053091,H001,DOC0068,2,Cleanliness of the wards needs significant improvement.,2024-09-21
FB00000110,PAT034729,H004,DOC0255,2,Emergency department was chaotic and clearly understaffed.,2024-10-14
FB00000111,PAT074351,H004,DOC0272,5,Doctor explained my condition thoroughly and answered all questions.,2024-10-04
FB00000112,PAT050231,H001,DOC0059,4,Outstanding care in the ICU. Nurses were exceptional.,2024-08-01
FB00000113,PAT006092,H003,DOC0220,4,Doctor explained my condition thoroughly and answered all questions.,2024-12-06
FB00000114,PAT055155,H002,DOC0108,3,Good doctors but the waiting area is too small and uncomfortable.,2024-10-29
FB00000115,PAT047441,H003,DOC0224,3,Average experience overall. Nothing exceptional but no major complaints.,2025-01-07
FB00000116,PAT013117,H004,DOC0270,3,Good doctors but the waiting area is too small and uncomfortable.,2025-04-24
FB00000117,PAT055251,H001,DOC0051,4,"Excellent care, clean facility, and attentive nursing staff.",2025-03-09
FB00000118,PAT040793,H008,DOC0465,2,Follow-up appointment was postponed twice without explanation.,2024-08-23
FB00000119,PAT051469,H001,DOC0032,3,Average experience overall. Nothing exceptional but no major complaints.,2024-07-15
FB00000120,PAT030643,H008,DOC0505,4,Minimal waiting time. Staff were courteous and professional.,2025-01-28
FB00000121,PAT065310,H005,DOC0312,3,Good doctors but the waiting area is too small and uncomfortable.,2024-08-18
FB00000122,PAT067897,H004,DOC0260,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-10-06
FB00000123,PAT025907,H001,DOC0038,4,Modern equipment and knowledgeable medical team.,2025-02-01
FB00000124,PAT029044,H003,DOC0248,1,Pharmacy was out of my prescribed medication for 2 days.,2025-01-18
FB00000125,PAT022461,H006,DOC0377,4,"Excellent care, clean facility, and attentive nursing staff.",2024-08-13
FB00000126,PAT015408,H006,DOC0411,5,Outstanding care in the ICU. Nurses were exceptional.,2025-01-27
FB00000127,PAT066101,H008,DOC0451,3,Good doctors but the waiting area is too small and uncomfortable.,2024-07-12
FB00000128,PAT051484,H007,DOC0427,5,Follow-up was prompt and well-coordinated. Highly recommend.,2024-05-27
FB00000129,PAT034621,H003,DOC0216,3,Average experience overall. Nothing exceptional but no major complaints.,2025-05-06
FB00000130,PAT034644,H005,DOC0278,5,Doctor explained my condition thoroughly and answered all questions.,2025-03-05
FB00000131,PAT055714,H001,DOC0047,5,Follow-up was prompt and well-coordinated. Highly recommend.,2025-05-04
FB00000132,PAT005077,H008,DOC0495,1,Follow-up appointment was postponed twice without explanation.,2024-09-13
FB00000133,PAT003272,H003,DOC0181,3,Good doctors but the waiting area is too small and uncomfortable.,2024-05-13
FB00000134,PAT074505,H004,DOC0260,2,Billing process was confusing and poorly explained.,2024-08-20
FB00000135,PAT032395,H008,DOC0514,3,Average experience overall. Nothing exceptional but no major complaints.,2025-01-02
FB00000136,PAT039676,H006,DOC0382,3,Treatment was satisfactory. Paperwork took longer than expected.,2025-01-25
FB00000137,PAT053408,H007,DOC0429,5,Modern equipment and knowledgeable medical team.,2024-09-28
FB00000138,PAT053806,H003,DOC0243,3,Good doctors but the waiting area is too small and uncomfortable.,2024-10-09
FB00000139,PAT064867,H003,DOC0199,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-07-08
FB00000140,PAT021156,H006,DOC0340,5,"Excellent care, clean facility, and attentive nursing staff.",2025-04-14
FB00000141,PAT071748,H003,DOC0215,5,Minimal waiting time. Staff were courteous and professional.,2024-10-19
FB00000142,PAT031295,H001,DOC0060,5,Follow-up was prompt and well-coordinated. Highly recommend.,2024-09-16
FB00000143,PAT012180,H003,DOC0236,1,Lab results took over 5 hours. No one communicated the delay.,2024-06-10
FB00000144,PAT005198,H001,DOC0083,1,Billing process was confusing and poorly explained.,2025-02-09
FB00000145,PAT034805,H008,DOC0486,3,Service was acceptable but administrative processes are slow.,2024-06-29
FB00000146,PAT013523,H005,DOC0300,2,Cleanliness of the wards needs significant improvement.,2024-11-26
FB00000147,PAT065488,H006,DOC0326,5,Outstanding care in the ICU. Nurses were exceptional.,2024-08-25
FB00000148,PAT061474,H001,DOC0085,3,Good doctors but the waiting area is too small and uncomfortable.,2025-04-07
FB00000149,PAT066134,H001,DOC0024,2,"Hospital was severely overcrowded, could not find a bed.",2024-08-15
FB00000150,PAT066926,H005,DOC0280,4,Doctor explained my condition thoroughly and answered all questions.,2025-01-08
FB00000151,PAT039166,H003,DOC0240,3,Good doctors but the waiting area is too small and uncomfortable.,2025-04-15
FB00000152,PAT027889,H003,DOC0175,5,Minimal waiting time. Staff were courteous and professional.,2025-05-05
FB00000153,PAT049805,H007,DOC0439,5,"Excellent care, clean facility, and attentive nursing staff.",2025-01-01
FB00000154,PAT045621,H005,DOC0289,2,Billing process was confusing and poorly explained.,2024-06-16
FB00000155,PAT061372,H003,DOC0197,3,Good doctors but the waiting area is too small and uncomfortable.,2024-09-14
FB00000156,PAT070983,H003,DOC0245,5,Doctor explained my condition thoroughly and answered all questions.,2025-03-09
FB00000157,PAT009393,H001,DOC0068,4,Doctor explained my condition thoroughly and answered all questions.,2024-09-21
FB00000158,PAT046609,H008,DOC0520,3,Service was acceptable but administrative processes are slow.,2024-11-06
FB00000159,PAT011288,H004,DOC0277,3,Average experience overall. Nothing exceptional but no major complaints.,2025-01-21
FB00000160,PAT046595,H008,DOC0498,3,Service was acceptable but administrative processes are slow.,2025-03-25
FB00000161,PAT019008,H001,DOC0039,2,Emergency department was chaotic and clearly understaffed.,2024-05-21
FB00000162,PAT003226,H003,DOC0212,5,Doctor explained my condition thoroughly and answered all questions.,2024-10-28
FB00000163,PAT043070,H003,DOC0185,3,Treatment was satisfactory. Paperwork took longer than expected.,2025-02-06
FB00000164,PAT032560,H007,DOC0440,4,Minimal waiting time. Staff were courteous and professional.,2025-03-28
FB00000165,PAT018231,H003,DOC0181,4,Modern equipment and knowledgeable medical team.,2024-09-29
FB00000166,PAT004257,H008,DOC0499,3,Service was acceptable but administrative processes are slow.,2025-04-25
FB00000167,PAT005574,H004,DOC0269,3,Average experience overall. Nothing exceptional but no major complaints.,2025-02-04
FB00000168,PAT000775,H002,DOC0091,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-07-25
FB00000169,PAT052309,H008,DOC0476,2,Emergency department was chaotic and clearly understaffed.,2024-06-17
FB00000170,PAT062680,H001,DOC0045,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-07-16
FB00000171,PAT070333,H001,DOC0023,1,Doctor seemed rushed and did not adequately explain my diagnosis.,2025-03-30
FB00000172,PAT039232,H004,DOC0270,4,Very professional doctors. Quick and efficient service.,2024-10-18
FB00000173,PAT035581,H002,DOC0162,3,Treatment was satisfactory. Paperwork took longer than expected.,2025-01-05
FB00000174,PAT059850,H003,DOC0220,2,Doctor seemed rushed and did not adequately explain my diagnosis.,2024-08-29
FB00000175,PAT009664,H008,DOC0461,3,Treatment was satisfactory. Paperwork took longer than expected.,2025-02-10
FB00000176,PAT062897,H001,DOC0052,1,Extremely long waiting time — over 3 hours for a simple consultation.,2025-04-15
FB00000177,PAT050999,H006,DOC0411,5,"Excellent care, clean facility, and attentive nursing staff.",2025-01-31
FB00000178,PAT044534,H002,DOC0166,1,Cleanliness of the wards needs significant improvement.,2024-07-31
FB00000179,PAT030543,H002,DOC0157,3,Service was acceptable but administrative processes are slow.,2024-07-24
FB00000180,PAT029111,H008,DOC0484,3,Average experience overall. Nothing exceptional but no major complaints.,2024-10-10
FB00000181,PAT014005,H008,DOC0518,2,Doctor seemed rushed and did not adequately explain my diagnosis.,2024-12-06
FB00000182,PAT012704,H008,DOC0507,3,Good doctors but the waiting area is too small and uncomfortable.,2024-11-09
FB00000183,PAT019207,H002,DOC0143,5,Doctor explained my condition thoroughly and answered all questions.,2024-05-30
FB00000184,PAT031931,H002,DOC0129,4,Modern equipment and knowledgeable medical team.,2024-09-04
FB00000185,PAT061480,H001,DOC0010,3,Service was acceptable but administrative processes are slow.,2024-07-25
FB00000186,PAT000740,H002,DOC0113,2,Follow-up appointment was postponed twice without explanation.,2024-11-06
FB00000187,PAT050534,H001,DOC0057,1,Cleanliness of the wards needs significant improvement.,2024-08-07
FB00000188,PAT027889,H003,DOC0218,5,Very professional doctors. Quick and efficient service.,2025-01-26
FB00000189,PAT047772,H006,DOC0388,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-08-01
FB00000190,PAT070112,H008,DOC0446,3,Good doctors but the waiting area is too small and uncomfortable.,2024-07-02
FB00000191,PAT059556,H002,DOC0095,1,Pharmacy was out of my prescribed medication for 2 days.,2024-11-30
FB00000192,PAT011263,H003,DOC0244,2,Pharmacy was out of my prescribed medication for 2 days.,2025-04-03
FB00000193,PAT006378,H001,DOC0083,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-10-15
FB00000194,PAT032227,H003,DOC0242,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-07-05
FB00000195,PAT054322,H007,DOC0430,4,Outstanding care in the ICU. Nurses were exceptional.,2025-02-24
FB00000196,PAT049704,H001,DOC0042,3,Service was acceptable but administrative processes are slow.,2024-07-05
FB00000197,PAT066897,H002,DOC0117,5,Modern equipment and knowledgeable medical team.,2024-08-16
FB00000198,PAT015723,H002,DOC0090,3,Service was acceptable but administrative processes are slow.,2024-07-24
FB00000199,PAT034303,H003,DOC0240,1,Emergency department was chaotic and clearly understaffed.,2024-11-15
FB00000200,PAT044976,H003,DOC0243,3,Average experience overall. Nothing exceptional but no major complaints.,2025-04-03
FB00000201,PAT031922,H006,DOC0404,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-05-22
FB00000202,PAT051182,H005,DOC0304,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-12-12
FB00000203,PAT068152,H001,DOC0084,4,Doctor explained my condition thoroughly and answered all questions.,2024-06-05
FB00000204,PAT063430,H001,DOC0046,4,Very professional doctors. Quick and efficient service.,2024-11-24
FB00000205,PAT061880,H007,DOC0436,5,Outstanding care in the ICU. Nurses were exceptional.,2024-11-30
FB00000206,PAT019441,H007,DOC0424,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-10-26
FB00000207,PAT039061,H006,DOC0340,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-09-28
FB00000208,PAT046615,H001,DOC0081,2,Emergency department was chaotic and clearly understaffed.,2025-02-16
FB00000209,PAT006951,H008,DOC0515,4,Very professional doctors. Quick and efficient service.,2024-08-13
FB00000210,PAT013988,H004,DOC0274,3,Good doctors but the waiting area is too small and uncomfortable.,2024-11-26
FB00000211,PAT073182,H006,DOC0337,5,Follow-up was prompt and well-coordinated. Highly recommend.,2025-05-09
FB00000212,PAT068314,H007,DOC0430,3,Good doctors but the waiting area is too small and uncomfortable.,2025-05-07
FB00000213,PAT055328,H001,DOC0007,3,Service was acceptable but administrative processes are slow.,2025-04-24
FB00000214,PAT005199,H007,DOC0422,5,"Excellent care, clean facility, and attentive nursing staff.",2024-10-11
FB00000215,PAT010103,H002,DOC0132,2,Billing process was confusing and poorly explained.,2024-07-18
FB00000216,PAT058574,H004,DOC0269,5,Outstanding care in the ICU. Nurses were exceptional.,2025-01-24
FB00000217,PAT047353,H003,DOC0221,2,"Hospital was severely overcrowded, could not find a bed.",2024-07-09
FB00000218,PAT062004,H005,DOC0282,4,"Excellent care, clean facility, and attentive nursing staff.",2025-01-02
FB00000219,PAT028876,H003,DOC0228,1,Doctor seemed rushed and did not adequately explain my diagnosis.,2024-07-20
FB00000220,PAT006937,H002,DOC0143,2,Emergency department was chaotic and clearly understaffed.,2024-06-23
FB00000221,PAT006399,H001,DOC0040,5,Very professional doctors. Quick and efficient service.,2024-09-14
FB00000222,PAT003555,H006,DOC0359,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-07-24
FB00000223,PAT015220,H002,DOC0120,5,Doctor explained my condition thoroughly and answered all questions.,2025-04-12
FB00000224,PAT040756,H004,DOC0258,5,Very satisfied with diagnosis accuracy and treatment plan.,2024-11-28
FB00000225,PAT027954,H002,DOC0134,3,Good doctors but the waiting area is too small and uncomfortable.,2024-10-27
FB00000226,PAT048685,H001,DOC0089,2,Pharmacy was out of my prescribed medication for 2 days.,2024-08-05
FB00000227,PAT043475,H004,DOC0255,4,Outstanding care in the ICU. Nurses were exceptional.,2024-08-02
FB00000228,PAT057668,H001,DOC0058,1,"Hospital was severely overcrowded, could not find a bed.",2024-11-30
FB00000229,PAT062334,H006,DOC0411,4,"Excellent care, clean facility, and attentive nursing staff.",2025-01-10
FB00000230,PAT046973,H007,DOC0425,5,Very professional doctors. Quick and efficient service.,2025-02-02
FB00000231,PAT030262,H002,DOC0095,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-11-23
FB00000232,PAT011509,H002,DOC0115,2,"Hospital was severely overcrowded, could not find a bed.",2025-02-02
FB00000233,PAT017018,H002,DOC0113,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-11-28
FB00000234,PAT015206,H003,DOC0185,4,Modern equipment and knowledgeable medical team.,2024-08-19
FB00000235,PAT045561,H005,DOC0297,5,"Excellent care, clean facility, and attentive nursing staff.",2024-08-28
FB00000236,PAT029009,H006,DOC0363,3,Service was acceptable but administrative processes are slow.,2024-08-25
FB00000237,PAT032302,H006,DOC0334,4,Outstanding care in the ICU. Nurses were exceptional.,2024-06-21
FB00000238,PAT029051,H006,DOC0345,4,Doctor explained my condition thoroughly and answered all questions.,2024-11-13
FB00000239,PAT057660,H007,DOC0429,4,Doctor explained my condition thoroughly and answered all questions.,2024-07-20
FB00000240,PAT060981,H006,DOC0346,5,Follow-up was prompt and well-coordinated. Highly recommend.,2024-12-17
FB00000241,PAT054476,H006,DOC0362,5,Very satisfied with diagnosis accuracy and treatment plan.,2024-12-24
FB00000242,PAT050831,H006,DOC0330,4,Minimal waiting time. Staff were courteous and professional.,2024-06-17
FB00000243,PAT025275,H004,DOC0276,5,Very satisfied with diagnosis accuracy and treatment plan.,2024-10-21
FB00000244,PAT032529,H002,DOC0113,3,Service was acceptable but administrative processes are slow.,2024-08-14
FB00000245,PAT048703,H001,DOC0068,5,Outstanding care in the ICU. Nurses were exceptional.,2025-04-27
FB00000246,PAT054058,H008,DOC0458,5,Doctor explained my condition thoroughly and answered all questions.,2024-09-10
FB00000247,PAT064186,H003,DOC0223,5,Modern equipment and knowledgeable medical team.,2024-12-01
FB00000248,PAT065142,H003,DOC0186,3,Average experience overall. Nothing exceptional but no major complaints.,2025-01-23
FB00000249,PAT072082,H004,DOC0258,4,Outstanding care in the ICU. Nurses were exceptional.,2025-02-17
FB00000250,PAT011190,H001,DOC0078,3,Treatment was satisfactory. Paperwork took longer than expected.,2024-07-04
FB00000251,PAT004109,H005,DOC0292,4,"Excellent care, clean facility, and attentive nursing staff.",2025-05-09
FB00000252,PAT031981,H001,DOC0023,2,Emergency department was chaotic and clearly understaffed.,2024-06-05
FB00000253,PAT010573,H003,DOC0213,5,Outstanding care in the ICU. Nurses were exceptional.,2024-07-06
FB00000254,PAT042642,H008,DOC0457,2,"Hospital was severely overcrowded, could not find a bed.",2025-02-01
FB00000255,PAT053591,H002,DOC0141,5,Minimal waiting time. Staff were courteous and professional.,2024-09-12
FB00000256,PAT032459,H007,DOC0434,2,Doctor seemed rushed and did not adequately explain my diagnosis.,2025-05-08
FB00000257,PAT035503,H004,DOC0272,4,Very satisfied with diagnosis accuracy and treatment plan.,2024-05-21
FB00000258,PAT046809,H001,DOC0023,1,Lab results took over 5 hours. No one communicated the delay.,2024-06-12
FB00000259,PAT002132,H001,DOC0037,3,Service was acceptable but administrative processes are slow.,2024-10-11
FB00000260,PAT012860,H002,DOC0142,4,Minimal waiting time. Staff were courteous and professional.,2024-10-18
FB00000261,PAT042672,H001,DOC0039,2,Pharmacy was out of my prescribed medication for 2 days.,2025-01-30
FB00000262,PAT054983,H003,DOC0251,4,Follow-up was prompt and well-coordinated. Highly recommend.,2024-07-26
FB00000263,PAT069860,H004,DOC0262,4,"Excellent care, clean facility, and attentive nursing staff.",2025-03-09
FB00000264,PAT022614,H005,DOC0289,5,Very professional doctors. Quick and efficient service.,2024-06-15
FB00000265,PAT073626,H006,DOC0330,5,Modern equipment and knowledgeable medical team.,2024-10-22
FB00000266,PAT041676,H008,DOC0484,2,Billing process was confusing and poorly explained.,2024-05-31
FB00000267,PAT011078,H007,DOC0439,4,Doctor explained my condition thoroughly and answered all questions.,2025-01-27
FB00000268,PAT012087,H004,DOC0260,3,Good doctors but the waiting area is too small and uncomfortable.,2024-06-20
