procedure_code,procedure_name,procedure_category,expected_cost,complexity_score
P185,Balloon Dilatation Of Lower Oesphogeal Stricture-(Adult)-(Includes general anesthesia),Cardiology Intervention,72931,5
P186,Laser For Post Operative Ulcer,Physiotherapy,253,1
P187,Endovascular Abdominal Aorta Dilation And Drug Lutent Stent Placement-Pediatric(With general anesthesia),Cardiology Intervention,31693,5
P188,Surgical Arthroscopy With Adhesolysis,Endoscopy,4922,3
P189,Hot Pack For Cervical Spondylosis,Physiotherapy,209,1
P190,Stool culture& sensitivity,Laboratory,410,1
P191,Open Reduction Of Vertebra Uncomplicated Fracture,General Procedure,2174,2
P192,Laser For Sciatica,Physiotherapy,403,1
P193,MYOGLOBIN IN SERUM,Laboratory,352,1
P194,Mammaglobin Ag,General Procedure,2534,2
P195,Pure Tone Audiometry ( PTA ),Radiology,2254,2
P196,Arthroscopic Anterior Cruciate Ligamnet Reconstruction With Graft,Surgery,22484,4
P197,Hot Pack For Cervical Disc Prolapse,Physiotherapy,172,1
P198,Incision Of Facial Nerves,Minor Procedure,7225,3
P199,Tempromadibular Joint ( TMJ ) Ultrasound,Radiology,2238,2
P200,Ceramic uncemented hip joint for congenital dislocation,Orthopedic Surgery,73255,5
P201,Direct Laryngoscopy And Excision Of Polyp Or Cyst Or Reinks Edema Using Microscope,Radiology,3021,2
